Emploi,Employeur,Type de Contrat,Lieu,Télétravail,Salaire,Date de publication
Data Scientist H/F,Pulse,CDI,Lyon 2e - 69,Télétravail partiel,38000 - 44000 EUR par an,11/03/2024
Data Scientist H/F,Alliade Habitat,CDI,Lyon 7e - 69,Télétravail partiel,Non Spécifié,04/03/2024
Data Scientist Industriel H/F,Framatome,CDI,Lyon - 69,Télétravail partiel,55000 - 70000 EUR par an,10/03/2024
Data Scientist IA - Senior H/F,AquisIT,CDI,Lyon 1er - 69,Télétravail occasionnel,Non Spécifié,08/03/2024
Data Scientist - Développement Deep Learning H/F,Celad,CDI,Lyon 1er - 69,Télétravail partiel,Non Spécifié,06/03/2024
Data Scientist H/F,Docaposte,CDI,Lyon - 69,Télétravail partiel,Non Spécifié,16/02/2024
Alternance - Data Scientist H/F,GROUPE GEMA - ESI BUSINESS SCHOOL / IA SCHOOL (Siège National),Alternance,Lyon - 69,Télétravail occasionnel,Non Spécifié,18/02/2024
Data Scientist H/F,LHH Recruitment Solutions,CDI,Villeurbanne - 69,Non Spécifié,40000 - 46000 EUR par an,02/03/2024
Alternant Data Scientist H/F,SUEZ,Alternance,Brignais - 69,Télétravail partiel,"477,07 - 1766,92 EUR par mois",02/03/2024
Ingenieur Projet - Data Scientist H/F,Kuribay,CDI,Décines-Charpieu - 69,Non Spécifié,Non Spécifié,il y a 11 heures
Data Scientist - en Alternance - Rhône H/F,APRIL,Alternance,Lyon 3e - 69,Télétravail partiel,"477,07 - 1766,92 EUR par mois",12/02/2024
Alternance IA Data Scientist H/F,Dimo Software,Alternance,Limonest - 69,Télétravail occasionnel,"477,07 - 1766,92 EUR par mois",07/03/2024
Référent Technique - Actuariat en Santé et Prévoyance Collective H/F,APRIL,CDI,Lyon - 69,Télétravail partiel,Non Spécifié,il y a 9 heures
Graduate Program - Data Scientist Cab Engineering H/F,Volvo Group,CDI,Saint-Priest - 69,Télétravail partiel,Non Spécifié,26/02/2024
